,Unnamed: 0,vote_average,runtime,genres,season,rating,revenue_adj,budget_adj
0,0,8.364,148,"Action, Science Fiction, Adventure",Summer,PG-13,20-21,19.26289651778101
1,1,8.417,169,"Adventure, Drama, Science Fiction",Fall,PG-13,20-21,19.217160015867897
2,2,8.512,152,"Drama, Action, Crime, Thriller",Summer,PG-13,21-22,19.434295235060183
3,3,7.573,162,"Action, Adventure, Fantasy, Science Fiction",Winter,PG-13,22-23,19.681701130611867
4,4,7.71,143,"Science Fiction, Action, Adventure",Spring,PG-13,21-22,19.536331008337854
5,5,7.606,108,"Action, Adventure, Comedy",Winter,R,20-21,18.15891398113565
6,6,8.255,149,"Adventure, Action, Science Fiction",Spring,PG-13,21-22,19.75706678118821
7,7,8.438,139,Drama,Fall,R,19-20,18.60761731986764
8,8,7.906,121,"Action, Science Fiction, Adventure",Summer,PG-13,20-21,19.24701297901758
9,9,8.488,154,"Thriller, Crime",Fall,R,19-20,16.72126723469992
10,10,8.477,142,"Comedy, Drama, Romance",Summer,PG-13,21-22,18.58853425643612
11,11,7.916,152,"Adventure, Fantasy",Fall,PG,21-22,19.22913311652982
12,12,7.64,126,"Action, Science Fiction, Adventure",Spring,PG-13,20-21,19.155581832591164
13,13,8.171,165,"Drama, Western",Winter,R,20-21,18.747873647973584
14,14,8.702,142,"Drama, Crime",Fall,R,17-18,17.800076896071847
15,15,8.263,181,"Adventure, Science Fiction, Action",Spring,PG-13,21-22,19.91282177256201
16,16,8.206,136,"Action, Science Fiction",Spring,R,20-21,18.60761731986764
17,17,7.9,194,"Drama, Romance",Fall,PG-13,22-23,19.79496104972362
18,18,8.168,122,"Crime, Thriller, Drama",Fall,R,21-22,18.04522422694245
19,19,8.402,179,"Adventure, Fantasy, Action",Winter,PG-13,21-22,18.933418872380777
20,20,8.474,201,"Adventure, Fantasy, Action",Winter,PG-13,21-22,18.907114425387203
21,21,8.2,138,"Drama, Thriller, Mystery",Winter,R,19-20,18.56974933722106
22,22,8.035,180,"Crime, Drama, Comedy",Winter,R,20-21,18.73205084469981
23,23,7.276,141,"Action, Adventure, Science Fiction",Spring,PG-13,21-22,20.01200577807448
24,24,7.4,147,"Adventure, Action, Science Fiction",Spring,PG-13,21-22,19.61993188845148
25,25,7.777,165,"Action, Crime, Drama, Thriller",Summer,PG-13,21-22,19.66416437984774
