,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
0,8.364,148,en,"Action, Science Fiction, Adventure",2010,Summer,PG-13,1197799134,232150521.3
1,8.417,169,en,"Adventure, Drama, Science Fiction",2014,Fall,PG-13,943174739.5,221771918.1
2,8.512,152,en,"Drama, Action, Crime, Thriller",2008,Summer,PG-13,1496272384,275554292.2
3,7.573,162,en,"Action, Adventure, Fantasy, Science Fiction",2009,Winter,PG-13,4353510060,352902061.6
4,7.71,143,en,"Science Fiction, Action, Adventure",2012,Spring,PG-13,2106701952,305155185
5,7.606,108,en,"Action, Adventure, Comedy",2016,Winter,R,1039214912,76969052.32
6,8.255,149,en,"Adventure, Action, Science Fiction",2018,Spring,PG-13,2603328754,380526653.4
7,8.438,139,en,Drama,1999,Fall,R,192990991.7,120555082.2
8,7.906,121,en,"Action, Science Fiction, Adventure",2014,Summer,PG-13,1038667569,228492279.3
9,8.488,154,en,"Thriller, Crime",1994,Fall,R,459987414.5,18279069.77
10,8.477,142,en,"Comedy, Drama, Romance",1994,Summer,PG-13,1456707920,118276333.8
11,7.916,152,en,"Adventure, Fantasy",2001,Fall,PG,1753306185,224443175.3
12,7.64,126,en,"Action, Science Fiction, Adventure",2008,Spring,PG-13,871606857.1,208527572.5
13,8.171,165,en,"Drama, Western",2012,Winter,R,590015106.1,138706902.3
14,8.702,142,en,"Drama, Crime",1994,Fall,R,60947728.14,53761969.9
15,8.263,181,en,"Adventure, Science Fiction, Action",2019,Spring,PG-13,3497330282,444660564.5
16,8.206,136,en,"Action, Science Fiction",1999,Spring,R,886974225.3,120555082.2
17,7.9,194,en,"Drama, Romance",1997,Fall,PG-13,4474246661,395223130.1
18,8.168,122,en,"Crime, Thriller, Drama",2019,Fall,R,1342048388,68697559.12
19,8.402,179,en,"Adventure, Fantasy, Action",2001,Winter,PG-13,1564581460,166985722.4
20,8.474,201,en,"Adventure, Fantasy, Action",2003,Winter,PG-13,1936041249,162650522.8
21,8.2,138,en,"Drama, Thriller, Mystery",2010,Winter,R,427737335.4,116075260.6
22,8.035,180,en,"Crime, Drama, Comedy",2013,Winter,R,535195414.3,136529442.4
23,7.276,141,en,"Action, Adventure, Science Fiction",2015,Spring,PG-13,1890653345,491025087
24,7.4,147,en,"Adventure, Action, Science Fiction",2016,Spring,PG-13,1532807380,331763156.6
25,7.777,165,en,"Action, Crime, Drama, Thriller",2012,Summer,PG-13,1499478881,346767255.6
26,6.928,130,en,"Action, Adventure, Science Fiction",2013,Spring,PG-13,1659620780,273058884.8
27,7.39,135,en,"Action, Adventure, Science Fiction",2018,Winter,PG-13,1712276182,253684435.6
28,7.427,115,en,"Action, Adventure, Fantasy",2016,Fall,PG-13,897542985.3,238869472.7
29,7.582,121,en,"Action, Adventure, Science Fiction",2015,Spring,R,509668354.4,201791131.6
30,8.215,153,en,"Drama, Thriller, War",2009,Summer,R,478662876.1,104232676.4
31,7.193,142,en,"Science Fiction, Adventure, Fantasy",2012,Spring,PG-13,963173411.1,104030176.7
32,7.345,133,en,"Action, Adventure, Science Fiction, Drama",2017,Summer,PG-13,1139538875,226569867.3
33,7.721,161,en,"Adventure, Fantasy",2002,Fall,PG,1556357192,177526821
34,7.624,137,en,"Science Fiction, Adventure, Action",2017,Spring,PG-13,1118291965,258936991.2
35,8.385,179,en,"Adventure, Fantasy, Action",2002,Winter,PG-13,1644408575,140246188.6
36,6.995,124,en,"Action, Adventure, Science Fiction",2011,Summer,PG-13,529041639.4,199870131.6
37,5.909,123,en,"Action, Adventure, Fantasy",2016,Summer,PG-13,991105132.1,232234209.6
38,8.02,141,en,"Adventure, Fantasy",2004,Spring,PG,1340791316,220691144.7
39,6.768,115,en,"Adventure, Fantasy, Action",2011,Spring,PG-13,641478359.2,214146569.6
40,6.835,124,en,"Adventure, Action, Science Fiction",2010,Spring,PG-13,905290300.1,290188151.6
41,7.701,140,en,"Action, Crime, Drama",2005,Summer,PG-13,616960413.2,247299423.2
42,7.595,131,en,"Action, Adventure, Science Fiction",2017,Fall,PG-13,1107346381,233043292.1
43,7.922,95,en,"Animation, Family, Adventure, Drama, Comedy",2015,Summer,PG,1153722195,235422986.9
44,6.682,124,en,"Action, Adventure, Science Fiction, Thriller",2015,Summer,PG-13,2248676216,201791131.6
45,8.368,127,en,"Crime, Mystery, Thriller",1995,Fall,R,684676303.9,69029940.12
46,7.816,157,en,"Adventure, Fantasy",2005,Fall,PG-13,1477071703,247299423.2
47,7.794,143,en,"Adventure, Fantasy, Action",2003,Summer,PG-13,1133382107,242245459.5
48,8.105,130,en,"Fantasy, Adventure",2011,Summer,PG-13,1915200171,178455474.7
49,8.204,121,en,"Adventure, Action, Science Fiction",1977,Spring,PG,4167267238,59117948.72
50,7.236,141,en,"Action, Adventure, Fantasy",2017,Spring,PG-13,1065337065,192908058.4
51,7.949,96,en,"Animation, Comedy, Family, Adventure",2009,Spring,PG,1094590639,260581691.1
52,7.082,117,en,"Science Fiction, Action, Adventure",2015,Summer,PG-13,698616993.9,174885647.4
53,8.707,175,en,"Drama, Crime",1972,Spring,R,1874668604,45897810.22
54,7.678,141,en,"Drama, Adventure, Science Fiction",2015,Fall,PG-13,848329917.4,145289614.8
55,8.314,116,en,"Adventure, Comedy, Science Fiction",1985,Summer,PG,1135743215,56621800.95
56,7.293,136,en,"Adventure, Action, Science Fiction",2015,Winter,PG-13,2782327904,329592181.7
57,7.99,148,en,"Action, Adventure, Science Fiction",2021,Winter,PG-13,2309901796,240383512.6
58,7.686,138,en,"Adventure, Fantasy",2007,Summer,PG-13,1457266643,232985534.7
59,7.697,153,en,"Adventure, Fantasy",2009,Summer,PG,1390700954,372259558.7
60,7.8,137,en,"Action, Drama, Science Fiction",2017,Winter,R,801437740.6,125584440.7
61,7.824,100,en,"Animation, Family",2003,Spring,G,1627085815,162650522.8
62,7.242,135,en,"Horror, Fantasy",2017,Fall,R,908609902,51787398.24
63,7.421,101,en,"Action, Thriller",2014,Fall,R,119302083.7,26881444.62
64,7.334,132,en,"Fantasy, Adventure, Family",2016,Fall,PG-13,1074039867,238869472.7
65,7.763,146,en,"Adventure, Fantasy",2010,Fall,PG-13,1384641279,362735189.5
66,8.222,105,en,"Family, Animation, Fantasy, Music, Comedy, Adventure",2017,Fall,PG,1036428988,226569867.3
67,7.671,136,en,"Action, Adventure, Science Fiction",2014,Spring,PG-13,960697901.1,228492279.3
68,7.279,121,en,"Fantasy, Action",2002,Spring,PG-13,1458753069,246762281.2
69,8.078,98,en,"Animation, Family, Science Fiction",2008,Summer,G,776484976.2,268106878.9
