,vote_average,runtime,genres,season,rating,revenue_adj,budget_adj
0,8.364,148,"Action, Science Fiction, Adventure",Summer,PG-13,1197799134.2424786,232150521.25877413
1,8.417,169,"Adventure, Drama, Science Fiction",Fall,PG-13,943174739.5064895,221771918.12445492
2,8.512,152,"Drama, Action, Crime, Thriller",Summer,PG-13,1496272383.899943,275554292.2114838
3,7.573,162,"Action, Adventure, Fantasy, Science Fiction",Winter,PG-13,4353510059.88548,352902061.63595283
4,7.71,143,"Science Fiction, Action, Adventure",Spring,PG-13,2106701951.849646,305155184.9645953
5,7.606,108,"Action, Adventure, Comedy",Winter,R,1039214911.614243,76969052.3223421
6,8.255,149,"Adventure, Action, Science Fiction",Spring,PG-13,2603328753.9753175,380526653.4068674
7,8.438,139,Drama,Fall,R,192990991.74193546,120555082.16676809
8,7.906,121,"Action, Science Fiction, Adventure",Summer,PG-13,1038667568.8708767,228492279.27974144
9,8.488,154,"Thriller, Crime",Fall,R,459987414.500684,18279069.76744186
10,8.477,142,"Comedy, Drama, Romance",Summer,PG-13,1456707920.0437758,118276333.7893297
11,7.916,152,"Adventure, Fantasy",Fall,PG,1753306184.5802398,224443175.32838377
12,7.64,126,"Action, Science Fiction, Adventure",Spring,PG-13,871606857.1006253,208527572.4843661
13,8.171,165,"Drama, Western",Winter,R,590015106.1134273,138706902.25663424
14,8.702,142,"Drama, Crime",Fall,R,60947728.13679891,53761969.90424077
15,8.263,181,"Adventure, Science Fiction, Action",Spring,PG-13,3497330282.2273073,444660564.4546148
16,8.206,136,"Action, Science Fiction",Spring,R,886974225.2903224,120555082.16676809
17,7.9,194,"Drama, Romance",Fall,PG-13,4474246661.113765,395223130.10685104
18,8.168,122,"Crime, Thriller, Drama",Fall,R,1342048388.081617,68697559.11517926
19,8.402,179,"Adventure, Fantasy, Action",Winter,PG-13,1564581459.9748714,166985722.44431752
20,8.474,201,"Adventure, Fantasy, Action",Winter,PG-13,1936041249.2988443,162650522.8398459
21,8.2,138,"Drama, Thriller, Mystery",Winter,R,427737335.4192913,116075260.62938707
