,vote_average,runtime,genres,season,rating,revenue_adj,budget_adj
0,8.364,148,"Action, Science Fiction, Adventure",Summer,PG-13,20.90375165500466,19.26289651778101
1,8.417,169,"Adventure, Drama, Science Fiction",Fall,PG-13,20.664762125135084,19.217160015867897
2,8.512,152,"Drama, Action, Crime, Thriller",Summer,PG-13,21.12624277472452,19.434295235060183
3,7.573,162,"Action, Adventure, Fantasy, Science Fiction",Winter,PG-13,22.194248266988396,19.681701130611867
4,7.71,143,"Science Fiction, Action, Adventure",Spring,PG-13,21.46838950559252,19.536331008337854
5,7.606,108,"Action, Adventure, Comedy",Winter,R,20.761731372346127,18.158913981135655
6,8.255,149,"Adventure, Action, Science Fiction",Spring,PG-13,21.68005675309198,19.757066781188215
7,8.438,139,Drama,Fall,R,19.0781540708676,18.607617319867636
8,7.906,121,"Action, Science Fiction, Adventure",Summer,PG-13,20.761204544904086,19.24701297901758
9,8.488,154,"Thriller, Crime",Fall,R,19.946709687292007,16.72126723469992
10,8.477,142,"Comedy, Drama, Romance",Summer,PG-13,21.09944487738097,18.58853425643612
11,7.916,152,"Adventure, Fantasy",Fall,PG,21.28476909082833,19.22913311652982
12,7.64,126,"Action, Science Fiction, Adventure",Spring,PG-13,20.58584902826013,19.155581832591164
13,8.171,165,"Drama, Western",Winter,R,20.195658698118354,18.747873647973584
14,8.702,142,"Drama, Crime",Fall,R,17.92552713898519,17.800076896071847
15,8.263,181,"Adventure, Science Fiction, Action",Spring,PG-13,21.975265737873276,19.912821772562012
16,8.206,136,"Action, Science Fiction",Spring,R,20.603326481554383,18.607617319867636
17,7.9,194,"Drama, Romance",Fall,PG-13,22.221603830616615,19.79496104972362
18,8.168,122,"Crime, Thriller, Drama",Fall,R,21.017462931538585,18.04522422694245
19,8.402,179,"Adventure, Fantasy, Action",Winter,PG-13,21.17088418745495,18.933418872380777
20,8.474,201,"Adventure, Fantasy, Action",Winter,PG-13,21.38391113202983,18.907114425387203
21,8.2,138,"Drama, Thriller, Mystery",Winter,R,19.87401986286236,18.56974933722106
22,8.035,180,"Crime, Drama, Comedy",Winter,R,20.098142498502177,18.732050844699806
23,7.276,141,"Action, Adventure, Science Fiction",Spring,PG-13,21.360188291679815,20.012005778074478
24,7.4,147,"Adventure, Action, Science Fiction",Spring,PG-13,21.150366779750637,19.61993188845148
25,7.777,165,"Action, Crime, Drama, Thriller",Summer,PG-13,21.128383472234855,19.66416437984774
26,6.928,130,"Action, Adventure, Science Fiction",Spring,PG-13,21.229854967521934,19.425198025259753
27,7.39,135,"Action, Adventure, Science Fiction",Winter,PG-13,21.261089423132137,19.35160167308005
28,7.427,115,"Action, Adventure, Fantasy",Fall,PG-13,20.61517157166573,19.291427821479445
29,7.582,121,"Action, Adventure, Science Fiction",Spring,R,20.04927078661677,19.12274371858824
30,8.215,153,"Drama, Thriller, War",Summer,R,19.986507099945126,18.46213623152609
